LogStreamName,Duration,BilledDuration,MemorySize,MaxMemoryUsed
2024/10/14/[$LATEST]9030002245cf48fc81e1d005a02bb8a5,1091.86 ,1092 ms	, 3008 MB,32 MB	
2024/10/14/[$LATEST]9030002245cf48fc81e1d005a02bb8a5,1104.81 ,1105 ms	, 3008 MB,32 MB	
2024/10/14/[$LATEST]9030002245cf48fc81e1d005a02bb8a5,1107.24 ,1108 ms	, 3008 MB,32 MB	
2024/10/14/[$LATEST]9030002245cf48fc81e1d005a02bb8a5,1102.38 ,1103 ms	, 3008 MB,32 MB	
2024/10/14/[$LATEST]9030002245cf48fc81e1d005a02bb8a5,1097.39 ,1098 ms	, 3008 MB,32 MB	
2024/10/14/[$LATEST]9030002245cf48fc81e1d005a02bb8a5,1099.20 ,1100 ms	, 3008 MB,32 MB	
2024/10/14/[$LATEST]9030002245cf48fc81e1d005a02bb8a5,1105.05 ,1106 ms	, 3008 MB,32 MB	
2024/10/14/[$LATEST]9030002245cf48fc81e1d005a02bb8a5,1115.73 ,1116 ms	, 3008 MB,32 MB	
2024/10/14/[$LATEST]9030002245cf48fc81e1d005a02bb8a5,1097.98 ,1098 ms	, 3008 MB,32 MB	
2024/10/14/[$LATEST]fda2c9c0cc1d400598135ac3d565789d,1119.40 ,1120 ms	, 2944 MB,32 MB	
2024/10/14/[$LATEST]fda2c9c0cc1d400598135ac3d565789d,1156.32 ,1157 ms	, 2944 MB,32 MB	
2024/10/14/[$LATEST]fda2c9c0cc1d400598135ac3d565789d,1133.59 ,1134 ms	, 2944 MB,32 MB	
2024/10/14/[$LATEST]fda2c9c0cc1d400598135ac3d565789d,1115.09 ,1116 ms	, 2944 MB,32 MB	
2024/10/14/[$LATEST]fda2c9c0cc1d400598135ac3d565789d,1127.85 ,1128 ms	, 2944 MB,32 MB	
2024/10/14/[$LATEST]fda2c9c0cc1d400598135ac3d565789d,1137.03 ,1138 ms	, 2944 MB,32 MB	
2024/10/14/[$LATEST]fda2c9c0cc1d400598135ac3d565789d,1126.06 ,1127 ms	, 2944 MB,32 MB	
2024/10/14/[$LATEST]fda2c9c0cc1d400598135ac3d565789d,1122.55 ,1123 ms	, 2944 MB,32 MB	
2024/10/14/[$LATEST]fda2c9c0cc1d400598135ac3d565789d,1115.49 ,1116 ms	, 2944 MB,32 MB	
2024/10/14/[$LATEST]fda2c9c0cc1d400598135ac3d565789d,1125.34 ,1126 ms	, 2944 MB,32 MB	
2024/10/14/[$LATEST]9a285b7babb34fd1a245713b8d9eba02,1066.95 ,1067 ms	, 2880 MB,32 MB	
2024/10/14/[$LATEST]9a285b7babb34fd1a245713b8d9eba02,1063.74 ,1064 ms	, 2880 MB,32 MB	
2024/10/14/[$LATEST]9a285b7babb34fd1a245713b8d9eba02,1068.58 ,1069 ms	, 2880 MB,32 MB	
2024/10/14/[$LATEST]9a285b7babb34fd1a245713b8d9eba02,1139.26 ,1140 ms	, 2880 MB,32 MB	
2024/10/14/[$LATEST]9a285b7babb34fd1a245713b8d9eba02,1064.45 ,1065 ms	, 2880 MB,32 MB	
2024/10/14/[$LATEST]9a285b7babb34fd1a245713b8d9eba02,1063.35 ,1064 ms	, 2880 MB,32 MB	
2024/10/14/[$LATEST]9a285b7babb34fd1a245713b8d9eba02,1087.11 ,1088 ms	, 2880 MB,32 MB	
2024/10/14/[$LATEST]9a285b7babb34fd1a245713b8d9eba02,1065.67 ,1066 ms	, 2880 MB,32 MB	
2024/10/14/[$LATEST]9a285b7babb34fd1a245713b8d9eba02,1064.01 ,1065 ms	, 2880 MB,32 MB	
2024/10/14/[$LATEST]9a285b7babb34fd1a245713b8d9eba02,1095.84 ,1096 ms	, 2880 MB,32 MB	
2024/10/14/[$LATEST]ca5eb1df784848199a7da066f5c1dc10,1196.56 ,1197 ms	, 2816 MB,32 MB	
2024/10/14/[$LATEST]ca5eb1df784848199a7da066f5c1dc10,1138.63 ,1139 ms	, 2816 MB,32 MB	
