LogStreamName,Duration,BilledDuration,MemorySize,MaxMemoryUsed
2024/10/15/[$LATEST]96eeed0a1f55430db413b0a19bda7af7,1091.57 ,1092 ms	, 3008 MB,32 MB	
2024/10/15/[$LATEST]96eeed0a1f55430db413b0a19bda7af7,1233.02 ,1234 ms	, 3008 MB,32 MB	
2024/10/15/[$LATEST]96eeed0a1f55430db413b0a19bda7af7,1052.82 ,1053 ms	, 3008 MB,32 MB	
2024/10/15/[$LATEST]96eeed0a1f55430db413b0a19bda7af7,1059.35 ,1060 ms	, 3008 MB,32 MB	
2024/10/15/[$LATEST]96eeed0a1f55430db413b0a19bda7af7,1058.48 ,1059 ms	, 3008 MB,32 MB	
2024/10/15/[$LATEST]96eeed0a1f55430db413b0a19bda7af7,1050.03 ,1051 ms	, 3008 MB,32 MB	
2024/10/15/[$LATEST]96eeed0a1f55430db413b0a19bda7af7,1051.55 ,1052 ms	, 3008 MB,32 MB	
2024/10/15/[$LATEST]96eeed0a1f55430db413b0a19bda7af7,1055.04 ,1056 ms	, 3008 MB,32 MB	
2024/10/15/[$LATEST]96eeed0a1f55430db413b0a19bda7af7,1056.31 ,1057 ms	, 3008 MB,32 MB	
2024/10/15/[$LATEST]a9135030f015477791d5d094a889b6a2,1066.26 ,1067 ms	, 2944 MB,32 MB	
2024/10/15/[$LATEST]a9135030f015477791d5d094a889b6a2,1058.75 ,1059 ms	, 2944 MB,32 MB	
2024/10/15/[$LATEST]a9135030f015477791d5d094a889b6a2,1062.09 ,1063 ms	, 2944 MB,32 MB	
2024/10/15/[$LATEST]a9135030f015477791d5d094a889b6a2,1058.54 ,1059 ms	, 2944 MB,32 MB	
2024/10/15/[$LATEST]a9135030f015477791d5d094a889b6a2,1069.83 ,1070 ms	, 2944 MB,32 MB	
2024/10/15/[$LATEST]a9135030f015477791d5d094a889b6a2,1055.66 ,1056 ms	, 2944 MB,32 MB	
2024/10/15/[$LATEST]a9135030f015477791d5d094a889b6a2,1059.17 ,1060 ms	, 2944 MB,32 MB	
2024/10/15/[$LATEST]a9135030f015477791d5d094a889b6a2,1058.02 ,1059 ms	, 2944 MB,32 MB	
2024/10/15/[$LATEST]a9135030f015477791d5d094a889b6a2,1060.00 ,1060 ms	, 2944 MB,32 MB	
2024/10/15/[$LATEST]a9135030f015477791d5d094a889b6a2,1060.85 ,1061 ms	, 2944 MB,32 MB	
2024/10/15/[$LATEST]44c4e7b434ba46229e754528ab3ba413,909.19 m,910 ms	, 2880 MB,32 MB	
2024/10/15/[$LATEST]44c4e7b434ba46229e754528ab3ba413,920.99 m,921 ms	, 2880 MB,32 MB	
2024/10/15/[$LATEST]44c4e7b434ba46229e754528ab3ba413,923.65 m,924 ms	, 2880 MB,32 MB	
2024/10/15/[$LATEST]44c4e7b434ba46229e754528ab3ba413,928.52 m,929 ms	, 2880 MB,32 MB	
2024/10/15/[$LATEST]44c4e7b434ba46229e754528ab3ba413,909.61 m,910 ms	, 2880 MB,32 MB	
2024/10/15/[$LATEST]44c4e7b434ba46229e754528ab3ba413,907.53 m,908 ms	, 2880 MB,32 MB	
2024/10/15/[$LATEST]44c4e7b434ba46229e754528ab3ba413,911.92 m,912 ms	, 2880 MB,32 MB	
2024/10/15/[$LATEST]44c4e7b434ba46229e754528ab3ba413,919.47 m,920 ms	, 2880 MB,32 MB	
2024/10/15/[$LATEST]44c4e7b434ba46229e754528ab3ba413,905.33 m,906 ms	, 2880 MB,32 MB	
2024/10/15/[$LATEST]44c4e7b434ba46229e754528ab3ba413,910.93 m,911 ms	, 2880 MB,32 MB	
2024/10/15/[$LATEST]966be22ccbaf4c3381311faf415ff947,1070.46 ,1071 ms	, 2816 MB,32 MB	
2024/10/15/[$LATEST]966be22ccbaf4c3381311faf415ff947,1050.12 ,1051 ms	, 2816 MB,32 MB	
2024/10/15/[$LATEST]966be22ccbaf4c3381311faf415ff947,1054.63 ,1055 ms	, 2816 MB,32 MB	
2024/10/15/[$LATEST]966be22ccbaf4c3381311faf415ff947,1055.34 ,1056 ms	, 2816 MB,32 MB	
2024/10/15/[$LATEST]966be22ccbaf4c3381311faf415ff947,1064.98 ,1065 ms	, 2816 MB,32 MB	
2024/10/15/[$LATEST]966be22ccbaf4c3381311faf415ff947,1043.04 ,1044 ms	, 2816 MB,32 MB	
2024/10/15/[$LATEST]966be22ccbaf4c3381311faf415ff947,1050.60 ,1051 ms	, 2816 MB,32 MB	
2024/10/15/[$LATEST]966be22ccbaf4c3381311faf415ff947,1171.20 ,1172 ms	, 2816 MB,32 MB	
2024/10/15/[$LATEST]966be22ccbaf4c3381311faf415ff947,1047.93 ,1048 ms	, 2816 MB,32 MB	
2024/10/15/[$LATEST]966be22ccbaf4c3381311faf415ff947,1049.28 ,1050 ms	, 2816 MB,32 MB	
2024/10/15/[$LATEST]ccd36332d341458ebdbe550ae1ef433d,1054.03 ,1055 ms	, 2752 MB,32 MB	
