LogStreamName,Duration (ms),BilledDuration (ms),MemorySize (MB),MaxMemoryUsed (MB)
2024/10/14/[$LATEST]68c8df87a0bc40cfb854e853633d6c10,15004.65,15005,128,32
2024/10/14/[$LATEST]bc885f02408a42479e3e6e55a7c85499,10783.21,10783,192,32
2024/10/14/[$LATEST]72f55019d97e4a029a22cdf90ef5b98f,7718.43,7719,256,32
2024/10/14/[$LATEST]44825a29a01e42da88482b2f42439b95,6497.68,6498,320,32
2024/10/14/[$LATEST]df8e1eabc3864f73ae2cf501ce43eab2,5500.33,5500,384,32
2024/10/14/[$LATEST]e56f9278cc064376b396bb972c0470ac,4316.29,4316,448,32
2024/10/14/[$LATEST]80159ad9520d4930b8d6b2601f05efb5,3985.99,3986,512,32
2024/10/14/[$LATEST]21b7637a18304ceca61e902bb7cc2681,3480.37,3480,576,32
2024/10/14/[$LATEST]7452ba4ed2c245c282b824a6118ef767,3119.79,3120,640,32
2024/10/14/[$LATEST]3171e776f0a74a48a62bebd1494af37b,2737.02,2737,704,32
2024/10/14/[$LATEST]a0b8dd1b192a41f99c69e1ec908c8138,2549.82,2550,768,32
2024/10/14/[$LATEST]ce0c22f0e7b94ef0add470a2a049d218,2465.63,2466,832,32
2024/10/14/[$LATEST]4a02d985711f409bbc5ce59d1687d3f1,2184.1,2184,896,32
2024/10/14/[$LATEST]83bcf1b5de9f48f891349369174ab9ae,2045.72,2046,960,32
2024/10/14/[$LATEST]7e299e51c2c24f1cb68c7ad939fec119,1912.09,1912,1024,32
2024/10/14/[$LATEST]78b208ce8a164b85ae0c0cd08fa84c4f,1823.76,1824,1088,32
2024/10/14/[$LATEST]78a7cfb418c4432e8af71dfd6d03aaa2,1683.48,1683,1152,32
2024/10/14/[$LATEST]9b527afc1625439bb46aeef50c5226d6,1553.65,1554,1216,32
2024/10/14/[$LATEST]c7db3bebcd4f4f1d8c48ad250af6ac38,1543.92,1544,1280,32
2024/10/14/[$LATEST]051d286cf7814c7ba64414f7b646b6bf,1463.35,1463,1344,32
2024/10/14/[$LATEST]b942fe4985be436189118117c9ba37b2,1349.63,1350,1408,32
2024/10/14/[$LATEST]bb30236a2a004867b957556d353c7dac,1299.22,1299,1472,32
2024/10/14/[$LATEST]b5e74f8d078e42f49a1a5562e24d0515,1250.48,1250,1536,32
2024/10/14/[$LATEST]802ae9848c7344449d6c82cc6b875b82,1600.05,1600,1600,32
2024/10/14/[$LATEST]be7c3cb4979640a38558309780d7c9b2,1225.16,1225,1664,32
2024/10/14/[$LATEST]fa4df72014fd4f76b7c2c245d35a99e9,1150.02,1150,1728,32
2024/10/14/[$LATEST]e017a9b0e6d04da88eb9fc1ae45e3a66,1107.03,1107,1792,32
2024/10/14/[$LATEST]f73f892532f24a48926e6aaff7657cbb,1100.83,1101,1856,32
2024/10/14/[$LATEST]f2cac0dc40d54c7282fa0bcfef960484,1101.69,1102,1920,32
2024/10/14/[$LATEST]ff2accea4db0466787c138b018f9d625,1102.01,1102,1984,32
2024/10/14/[$LATEST]245fb9b39a904cf297acd30f488b0c6c,1105.71,1106,2048,32
2024/10/14/[$LATEST]4078d3c06e6144ab969c8ccfd9e60e76,1080.08,1080,2112,32
2024/10/14/[$LATEST]b8dc31d982c14d9aa58f2065a08284b7,1083.2,1083,2176,32
2024/10/14/[$LATEST]920c18bda842487d9a686ae3d3fe83e5,1102.58,1103,2240,32
2024/10/14/[$LATEST]cbec4b639340440c8efe1f48531ca619,1120.71,1121,2304,32
2024/10/14/[$LATEST]4a33dd12486b40ae885bece652eaf22d,1078.63,1079,2368,32
2024/10/14/[$LATEST]8d9c606166834c58a250b3fdc395d3b6,1067.53,1068,2432,32
2024/10/14/[$LATEST]78723230c9904103888696aea4c1449f,1130.56,1131,2496,32
2024/10/14/[$LATEST]341d45cf04744a06829c5dd44d6eb7f5,1153.56,1154,2560,32
2024/10/14/[$LATEST]6f531b4e160a4ad4b721bd573c1302f2,1080.63,1081,2624,32
2024/10/14/[$LATEST]5fd06fa1b9eb40759083e8ecc3338fb4,1113.83,1114,2688,32
2024/10/14/[$LATEST]01a10884401a4cce9d65e1e63d4e0553,1079.55,1080,2752,32
2024/10/14/[$LATEST]ca5eb1df784848199a7da066f5c1dc10,1178.03,1178,2816,32
2024/10/14/[$LATEST]9a285b7babb34fd1a245713b8d9eba02,1077.9,1078,2880,32
2024/10/14/[$LATEST]fda2c9c0cc1d400598135ac3d565789d,1127.87,1128,2944,32
2024/10/14/[$LATEST]9030002245cf48fc81e1d005a02bb8a5,1102.4,1102,3008,32
