LogStreamName,Duration,BilledDuration,MemorySize,MaxMemoryUsed
2024/10/16/[$LATEST]3ce1d173b93343ff9b99bb949380c6b6,434.81 m,435 ms	, 3008 MB,162 MB
2024/10/16/[$LATEST]3ce1d173b93343ff9b99bb949380c6b6,240.60 m,241 ms	, 3008 MB,173 MB
2024/10/16/[$LATEST]3ce1d173b93343ff9b99bb949380c6b6,250.35 m,251 ms	, 3008 MB,173 MB
2024/10/16/[$LATEST]3ce1d173b93343ff9b99bb949380c6b6,235.47 m,236 ms	, 3008 MB,173 MB
2024/10/16/[$LATEST]3ce1d173b93343ff9b99bb949380c6b6,243.12 m,244 ms	, 3008 MB,173 MB
2024/10/16/[$LATEST]3ce1d173b93343ff9b99bb949380c6b6,248.15 m,249 ms	, 3008 MB,173 MB
2024/10/16/[$LATEST]3ce1d173b93343ff9b99bb949380c6b6,238.94 m,239 ms	, 3008 MB,173 MB
2024/10/16/[$LATEST]3ce1d173b93343ff9b99bb949380c6b6,238.33 m,239 ms	, 3008 MB,173 MB
2024/10/16/[$LATEST]3ce1d173b93343ff9b99bb949380c6b6,244.58 m,245 ms	, 3008 MB,173 MB
2024/10/16/[$LATEST]3fe77d3828fa40389f9e29395882ca7d,425.76 m,426 ms	, 2944 MB,162 MB
2024/10/16/[$LATEST]3fe77d3828fa40389f9e29395882ca7d,232.79 m,233 ms	, 2944 MB,173 MB
2024/10/16/[$LATEST]3fe77d3828fa40389f9e29395882ca7d,238.32 m,239 ms	, 2944 MB,173 MB
2024/10/16/[$LATEST]3fe77d3828fa40389f9e29395882ca7d,235.29 m,236 ms	, 2944 MB,173 MB
2024/10/16/[$LATEST]3fe77d3828fa40389f9e29395882ca7d,236.71 m,237 ms	, 2944 MB,173 MB
2024/10/16/[$LATEST]3fe77d3828fa40389f9e29395882ca7d,234.14 m,235 ms	, 2944 MB,173 MB
2024/10/16/[$LATEST]3fe77d3828fa40389f9e29395882ca7d,235.37 m,236 ms	, 2944 MB,173 MB
2024/10/16/[$LATEST]3fe77d3828fa40389f9e29395882ca7d,234.11 m,235 ms	, 2944 MB,173 MB
2024/10/16/[$LATEST]3fe77d3828fa40389f9e29395882ca7d,235.28 m,236 ms	, 2944 MB,173 MB
2024/10/16/[$LATEST]3fe77d3828fa40389f9e29395882ca7d,234.50 m,235 ms	, 2944 MB,173 MB
2024/10/16/[$LATEST]86b06c608c84414d8f5f9af6be7e2287,437.13 m,438 ms	, 2880 MB,162 MB
2024/10/16/[$LATEST]86b06c608c84414d8f5f9af6be7e2287,241.40 m,242 ms	, 2880 MB,173 MB
2024/10/16/[$LATEST]86b06c608c84414d8f5f9af6be7e2287,238.07 m,239 ms	, 2880 MB,173 MB
2024/10/16/[$LATEST]86b06c608c84414d8f5f9af6be7e2287,239.64 m,240 ms	, 2880 MB,173 MB
2024/10/16/[$LATEST]86b06c608c84414d8f5f9af6be7e2287,237.12 m,238 ms	, 2880 MB,173 MB
2024/10/16/[$LATEST]86b06c608c84414d8f5f9af6be7e2287,245.35 m,246 ms	, 2880 MB,173 MB
2024/10/16/[$LATEST]86b06c608c84414d8f5f9af6be7e2287,243.67 m,244 ms	, 2880 MB,173 MB
2024/10/16/[$LATEST]86b06c608c84414d8f5f9af6be7e2287,236.79 m,237 ms	, 2880 MB,173 MB
2024/10/16/[$LATEST]86b06c608c84414d8f5f9af6be7e2287,240.67 m,241 ms	, 2880 MB,173 MB
2024/10/16/[$LATEST]86b06c608c84414d8f5f9af6be7e2287,245.85 m,246 ms	, 2880 MB,173 MB
2024/10/16/[$LATEST]5affb60b52d44dad8647c32cf7c440c1,433.10 m,434 ms	, 2816 MB,162 MB
2024/10/16/[$LATEST]5affb60b52d44dad8647c32cf7c440c1,240.11 m,241 ms	, 2816 MB,173 MB
2024/10/16/[$LATEST]5affb60b52d44dad8647c32cf7c440c1,241.06 m,242 ms	, 2816 MB,173 MB
2024/10/16/[$LATEST]5affb60b52d44dad8647c32cf7c440c1,238.69 m,239 ms	, 2816 MB,173 MB
2024/10/16/[$LATEST]5affb60b52d44dad8647c32cf7c440c1,236.58 m,237 ms	, 2816 MB,173 MB
2024/10/16/[$LATEST]5affb60b52d44dad8647c32cf7c440c1,237.19 m,238 ms	, 2816 MB,173 MB
2024/10/16/[$LATEST]5affb60b52d44dad8647c32cf7c440c1,240.18 m,241 ms	, 2816 MB,173 MB
2024/10/16/[$LATEST]5affb60b52d44dad8647c32cf7c440c1,238.09 m,239 ms	, 2816 MB,173 MB
2024/10/16/[$LATEST]5affb60b52d44dad8647c32cf7c440c1,234.76 m,235 ms	, 2816 MB,173 MB
2024/10/16/[$LATEST]5affb60b52d44dad8647c32cf7c440c1,238.87 m,239 ms	, 2816 MB,173 MB
2024/10/16/[$LATEST]f857b01e4e084d88935198e446629a0e,437.03 m,438 ms	, 2752 MB,162 MB
2024/10/16/[$LATEST]f857b01e4e084d88935198e446629a0e,243.38 m,244 ms	, 2752 MB,173 MB
2024/10/16/[$LATEST]f857b01e4e084d88935198e446629a0e,235.26 m,236 ms	, 2752 MB,173 MB
2024/10/16/[$LATEST]f857b01e4e084d88935198e446629a0e,234.19 m,235 ms	, 2752 MB,173 MB
2024/10/16/[$LATEST]f857b01e4e084d88935198e446629a0e,237.29 m,238 ms	, 2752 MB,173 MB
2024/10/16/[$LATEST]f857b01e4e084d88935198e446629a0e,233.95 m,234 ms	, 2752 MB,173 MB
2024/10/16/[$LATEST]f857b01e4e084d88935198e446629a0e,234.97 m,235 ms	, 2752 MB,173 MB
2024/10/16/[$LATEST]f857b01e4e084d88935198e446629a0e,234.67 m,235 ms	, 2752 MB,173 MB
2024/10/16/[$LATEST]f857b01e4e084d88935198e446629a0e,235.79 m,236 ms	, 2752 MB,173 MB
2024/10/16/[$LATEST]f857b01e4e084d88935198e446629a0e,234.81 m,235 ms	, 2752 MB,173 MB
2024/10/16/[$LATEST]3bbd8b9fa1494bb89cba545b10d0f468,440.59 m,441 ms	, 2688 MB,162 MB
2024/10/16/[$LATEST]3bbd8b9fa1494bb89cba545b10d0f468,239.79 m,240 ms	, 2688 MB,173 MB
2024/10/16/[$LATEST]3bbd8b9fa1494bb89cba545b10d0f468,238.65 m,239 ms	, 2688 MB,173 MB
2024/10/16/[$LATEST]3bbd8b9fa1494bb89cba545b10d0f468,241.53 m,242 ms	, 2688 MB,173 MB
2024/10/16/[$LATEST]3bbd8b9fa1494bb89cba545b10d0f468,241.92 m,242 ms	, 2688 MB,173 MB
2024/10/16/[$LATEST]3bbd8b9fa1494bb89cba545b10d0f468,241.66 m,242 ms	, 2688 MB,173 MB
2024/10/16/[$LATEST]3bbd8b9fa1494bb89cba545b10d0f468,238.14 m,239 ms	, 2688 MB,173 MB
2024/10/16/[$LATEST]3bbd8b9fa1494bb89cba545b10d0f468,239.34 m,240 ms	, 2688 MB,173 MB
2024/10/16/[$LATEST]3bbd8b9fa1494bb89cba545b10d0f468,246.10 m,247 ms	, 2688 MB,173 MB
2024/10/16/[$LATEST]3bbd8b9fa1494bb89cba545b10d0f468,249.17 m,250 ms	, 2688 MB,173 MB
2024/10/16/[$LATEST]8b624f7edf0a484a8304966250a2831b,435.50 m,436 ms	, 2624 MB,162 MB
2024/10/16/[$LATEST]8b624f7edf0a484a8304966250a2831b,239.06 m,240 ms	, 2624 MB,173 MB
2024/10/16/[$LATEST]8b624f7edf0a484a8304966250a2831b,236.83 m,237 ms	, 2624 MB,173 MB
2024/10/16/[$LATEST]8b624f7edf0a484a8304966250a2831b,238.53 m,239 ms	, 2624 MB,173 MB
2024/10/16/[$LATEST]8b624f7edf0a484a8304966250a2831b,247.83 m,248 ms	, 2624 MB,173 MB
2024/10/16/[$LATEST]8b624f7edf0a484a8304966250a2831b,237.24 m,238 ms	, 2624 MB,173 MB
2024/10/16/[$LATEST]8b624f7edf0a484a8304966250a2831b,236.59 m,237 ms	, 2624 MB,173 MB
2024/10/16/[$LATEST]8b624f7edf0a484a8304966250a2831b,237.84 m,238 ms	, 2624 MB,173 MB
2024/10/16/[$LATEST]8b624f7edf0a484a8304966250a2831b,242.76 m,243 ms	, 2624 MB,173 MB
2024/10/16/[$LATEST]8b624f7edf0a484a8304966250a2831b,253.38 m,254 ms	, 2624 MB,173 MB
2024/10/16/[$LATEST]2e011d3c23204d0b8ff5b1a382fe54cf,432.04 m,433 ms	, 2560 MB,163 MB
